,,,,,,,,,
,NLC Name,"Soup, Inc",,,,,,Invoice No,123456
,NLC Address,1234 Johnson Dr.,,,,,,Invoice Date,06/25/2019
,,,,,,,,,
,NLC Phone,222-333-4444,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Taxonomy/Projects,Danish_Denmark,,,Billing Department,Finance,,,
,,,,,,,,,
,Amount Total,"$1,000.00",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Total,,,,,,
,Description,,,Date,Type,# of Categories,Hours,Rate per hour,Note
,askdladjandlsakjd,,,06/20/2019,Water,5,12,$60.00,hi
,soup2,,,06/22/2019,Fire,8,10,$4.00,bye
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Total Due,$200.00,
